category,airdate,created_at,question,updated_at,value,answer,game_id,category_id,invalid_count,id
"{u'updated_at': u'2014-02-11T22:47:22.596Z', u'created_at': u'2014-02-11T22:47:22.596Z', u'id': 32, u'clues_count': 90, u'title': u'toys & games'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.878Z,"Thrown out by G.E. in 1949, this stretchy stuff became a national fad",2014-02-11T22:47:22.878Z,400,Silly Putty,,32,,172
"{u'updated_at': u'2014-02-11T22:47:22.617Z', u'created_at': u'2014-02-11T22:47:22.617Z', u'id': 34, u'clues_count': 15, u'title': u'all that jazz'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.833Z,,2016-03-31T21:46:08.598Z,,a wipeout,,34,1,168
"{u'updated_at': u'2014-02-11T22:47:22.585Z', u'created_at': u'2014-02-11T22:47:22.585Z', u'id': 31, u'clues_count': 225, u'title': u'the bible'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.797Z,,2017-05-16T16:46:20.203Z,,bequeath,,31,1,165
"{u'updated_at': u'2014-02-11T22:47:22.606Z', u'created_at': u'2014-02-11T22:47:22.606Z', u'id': 33, u'clues_count': 5, u'title': u'water sports'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.889Z,Competitor in this sport was the model for nude male torso atop L.A.'s Olympic gate,2014-02-11T22:47:22.889Z,400,water polo,,33,,173
"{u'updated_at': u'2014-02-11T22:47:43.324Z', u'created_at': u'2014-02-11T22:47:43.324Z', u'id': 142, u'clues_count': 20, u'title': u'the earth'}",1986-02-27T12:00:00.000Z,2014-02-11T22:47:43.698Z,=,2014-02-11T22:47:43.698Z,500,=,,142,,925
"{u'updated_at': u'2014-02-11T22:47:20.329Z', u'created_at': u'2014-02-11T22:47:20.329Z', u'id': 17, u'clues_count': 110, u'title': u'u.s. states'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.940Z,"Midwest state whose native sons include Marlon Brando, Nick Nolte & Henry Fonda",2014-02-11T22:47:22.940Z,500,Nebraska,,17,,175
"{u'updated_at': u'2014-02-11T22:47:22.573Z', u'created_at': u'2014-02-11T22:47:22.573Z', u'id': 30, u'clues_count': 20, u'title': u'starts with ""b""'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.951Z,Australian bay named for the many plants growing on its shores,2014-02-11T22:47:22.951Z,500,Botany Bay,,30,,176
"{u'updated_at': u'2014-02-11T22:47:22.585Z', u'created_at': u'2014-02-11T22:47:22.585Z', u'id': 31, u'clues_count': 225, u'title': u'the bible'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.964Z,,2014-02-11T22:47:22.964Z,,Botany Bay,,31,,177
"{u'updated_at': u'2014-02-11T22:47:22.596Z', u'created_at': u'2014-02-11T22:47:22.596Z', u'id': 32, u'clues_count': 90, u'title': u'toys & games'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.975Z,"Said to be a be a weapon in the Philippines, Duncan made them toys for the U.S.",2014-02-11T22:47:22.975Z,500,a yo-yo,,32,,178
"{u'updated_at': u'2014-02-11T22:47:22.606Z', u'created_at': u'2014-02-11T22:47:22.606Z', u'id': 33, u'clues_count': 5, u'title': u'water sports'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.986Z,Name of yacht immortalized after winning the 100-Guinea Cup away from England in 1851,2014-02-11T22:47:22.986Z,500,the <i>America</i>,,33,,179
"{u'updated_at': u'2014-02-11T22:47:22.617Z', u'created_at': u'2014-02-11T22:47:22.617Z', u'id': 34, u'clues_count': 15, u'title': u'all that jazz'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.997Z,,2014-02-11T22:47:22.997Z,,the <i>America</i>,,34,,180
"{u'updated_at': u'2014-02-11T22:47:23.318Z', u'created_at': u'2014-02-11T22:47:23.318Z', u'id': 35, u'clues_count': 75, u'title': u'insects'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.387Z,"""Cooties""; the lousiest insects of all",2014-02-11T22:47:23.387Z,100,lice,,35,,181
"{u'updated_at': u'2014-02-11T22:47:23.329Z', u'created_at': u'2014-02-11T22:47:23.329Z', u'id': 36, u'clues_count': 85, u'title': u'colors'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.399Z,Colors that blend to make chartreuse,2014-02-11T22:47:23.399Z,100,green and yellow,,36,,182
"{u'updated_at': u'2014-02-11T22:47:23.340Z', u'created_at': u'2014-02-11T22:47:23.340Z', u'id': 37, u'clues_count': 110, u'title': u'nursery rhymes'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.412Z,"Where the crooked man, the crooked cat, & the crooked mouse all lived",2014-02-11T22:47:23.412Z,100,in a little crooked house,,37,,183
"{u'updated_at': u'2014-02-11T22:47:23.351Z', u'created_at': u'2014-02-11T22:47:23.351Z', u'id': 38, u'clues_count': 10, u'title': u'boxing'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.423Z,Length of a full count,2014-02-11T22:47:23.423Z,100,ten,,38,,184
"{u'updated_at': u'2014-02-11T22:47:23.361Z', u'created_at': u'2014-02-11T22:47:23.361Z', u'id': 39, u'clues_count': 5, u'title': u'poe'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.434Z,Time when the raven came rapping,2014-02-11T22:47:23.434Z,100,midnight,,39,,185
"{u'updated_at': u'2014-02-11T22:47:23.372Z', u'created_at': u'2014-02-11T22:47:23.372Z', u'id': 40, u'clues_count': 15, u'title': u'cable tv'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.446Z,What MTV plays 24 hours a day,2014-02-11T22:47:23.446Z,100,music videos,,40,,186
"{u'updated_at': u'2014-02-11T22:47:23.318Z', u'created_at': u'2014-02-11T22:47:23.318Z', u'id': 35, u'clues_count': 75, u'title': u'insects'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.458Z,These insects flash yellow lights to find mates,2014-02-11T22:47:23.458Z,200,fireflies (or lightning bugs or glowworms),,35,,187
"{u'updated_at': u'2014-02-11T22:47:23.329Z', u'created_at': u'2014-02-11T22:47:23.329Z', u'id': 36, u'clues_count': 85, u'title': u'colors'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.469Z,"When you're blooming with health, you're ""in"" it",2014-02-11T22:47:23.469Z,200,in the pink,,36,,188
"{u'updated_at': u'2014-02-11T22:47:23.340Z', u'created_at': u'2014-02-11T22:47:23.340Z', u'id': 37, u'clues_count': 110, u'title': u'nursery rhymes'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.481Z,He killed Cock Robin,2014-02-11T22:47:23.481Z,200,the sparrow,,37,,189
"{u'updated_at': u'2014-02-11T22:47:23.351Z', u'created_at': u'2014-02-11T22:47:23.351Z', u'id': 38, u'clues_count': 10, u'title': u'boxing'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.493Z,Term for tossing the terrycloth,2014-02-11T22:47:23.493Z,200,throwing in the towel,,38,,190
"{u'updated_at': u'2014-02-11T22:47:23.361Z', u'created_at': u'2014-02-11T22:47:23.361Z', u'id': 39, u'clues_count': 5, u'title': u'poe'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.505Z,,2014-02-11T22:47:23.505Z,,throwing in the towel,,39,,191
"{u'updated_at': u'2014-02-11T22:47:23.372Z', u'created_at': u'2014-02-11T22:47:23.372Z', u'id': 40, u'clues_count': 15, u'title': u'cable tv'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.517Z,"Cable channel where you'd find ""Mouseterpiece Theatre""",2014-02-11T22:47:23.517Z,200,the Disney Channel,,40,,192
"{u'updated_at': u'2014-02-11T22:47:23.318Z', u'created_at': u'2014-02-11T22:47:23.318Z', u'id': 35, u'clues_count': 75, u'title': u'insects'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.528Z,"Gatherings of this type of grasshopper have covered 2,000 square miles at a time",2014-02-11T22:47:23.528Z,300,locust swarms,,35,,193
"{u'updated_at': u'2014-02-11T22:47:23.329Z', u'created_at': u'2014-02-11T22:47:23.329Z', u'id': 36, u'clues_count': 85, u'title': u'colors'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.540Z,"Ring Lardner, Dalton Trumbo, & Will Geer were on one in the 50s",2014-02-11T22:47:23.540Z,300,a blacklist,,36,,194
"{u'updated_at': u'2014-02-11T22:47:23.340Z', u'created_at': u'2014-02-11T22:47:23.340Z', u'id': 37, u'clues_count': 110, u'title': u'nursery rhymes'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.553Z,His kisses drove girls to tears,2014-02-11T22:47:23.553Z,300,Georgie Porgie,,37,,195
"{u'updated_at': u'2014-02-11T22:47:23.351Z', u'created_at': u'2014-02-11T22:47:23.351Z', u'id': 38, u'clues_count': 10, u'title': u'boxing'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.565Z,Meaning of TKO,2014-02-11T22:47:23.565Z,300,technical knockout,,38,,196
"{u'updated_at': u'2014-02-11T22:47:23.372Z', u'created_at': u'2014-02-11T22:47:23.372Z', u'id': 40, u'clues_count': 15, u'title': u'cable tv'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.588Z,Comedy group which went from CBC to NBC to Cinemax,2014-02-11T22:47:23.588Z,,SCTV,,40,,198
"{u'updated_at': u'2014-02-11T22:47:23.318Z', u'created_at': u'2014-02-11T22:47:23.318Z', u'id': 35, u'clues_count': 75, u'title': u'insects'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.600Z,"Its name comes from its worshipful appearance, not its voracious appetite",2014-02-11T22:47:23.600Z,400,a praying mantis,,35,,199
"{u'updated_at': u'2014-02-11T22:47:23.329Z', u'created_at': u'2014-02-11T22:47:23.329Z', u'id': 36, u'clues_count': 85, u'title': u'colors'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.611Z,Colorful causeway Elton John bids adieu to in '73 hit,2014-02-11T22:47:23.611Z,400,the Yellow Brick Road,,36,,200
"{u'updated_at': u'2014-02-11T22:47:23.340Z', u'created_at': u'2014-02-11T22:47:23.340Z', u'id': 37, u'clues_count': 110, u'title': u'nursery rhymes'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.623Z,"At the count of 7, all good children go there",2014-02-11T22:47:23.623Z,400,heaven,,37,,201
"{u'updated_at': u'2014-02-11T22:47:23.351Z', u'created_at': u'2014-02-11T22:47:23.351Z', u'id': 38, u'clues_count': 10, u'title': u'boxing'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.633Z,"In '81, he got $12 mil. for beating welterweight Thomas Hearns",2014-02-11T22:47:23.633Z,400,Sugar Ray Leonard,,38,,202
"{u'updated_at': u'2014-02-11T22:47:23.361Z', u'created_at': u'2014-02-11T22:47:23.361Z', u'id': 39, u'clues_count': 5, u'title': u'poe'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.644Z,,2014-02-11T22:47:23.644Z,,Sugar Ray Leonard,,39,,203
"{u'updated_at': u'2014-02-11T22:47:23.372Z', u'created_at': u'2014-02-11T22:47:23.372Z', u'id': 40, u'clues_count': 15, u'title': u'cable tv'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.655Z,"His flagship station is WTBA, Atlanta",2014-02-11T22:47:23.655Z,400,Ted Turner,,40,,204
"{u'updated_at': u'2014-02-11T22:47:23.318Z', u'created_at': u'2014-02-11T22:47:23.318Z', u'id': 35, u'clues_count': 75, u'title': u'insects'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.666Z,The Bible says a sluggard should consider this industrious insect,2014-02-11T22:47:23.666Z,500,an ant,,35,,205
"{u'updated_at': u'2014-02-11T22:47:23.329Z', u'created_at': u'2014-02-11T22:47:23.329Z', u'id': 36, u'clues_count': 85, u'title': u'colors'}",1984-12-06T12:00:00.000Z,2014-02-11T22:47:23.678Z,It was said rajahs gave their rivals these animals to create financial burden,2014-02-11T22:47:23.678Z,500,white elephants,,36,,206
